shape	iterations	best_vx_q1	best_vx_q3	best_vx_median
01111-11111	0	0.1419168131302267	0.2670799702414464	0.2427576865343633
01111-11111	1	0.2507318757216553	0.2812205740730753	0.2800478721494543
01111-11111	2	0.2800478721494543	0.3924399928750423	0.3068981826347656
01111-11111	3	0.3231732371959287	0.5038808485704253	0.4431277590240259
01111-11111	4	0.4035864045914859	0.5401849866899645	0.4431277590240259
01111-11111	5	0.4431277590240259	0.5472416714083723	0.5047147191889128
01111-11111	6	0.5233920467050406	0.5472416714083723	0.5451722526728265
01111-11111	7	0.5530957909869338	0.5866335955396287	0.5781488444568055
01111-11111	8	0.5866335955396287	0.6050747594624024	0.5937295377706321
01111-11111	9	0.5879935076624508	0.6162481036579992	0.6050747594624024
01111-11111	10	0.6182075785014399	0.6296884404995113	0.62614807963393
01111-11111	11	0.6195526111118362	0.6591846301971238	0.62614807963393
01111-11111	12	0.6215903325094527	0.6636368953344612	0.62614807963393
01111-11111	13	0.6605264590425732	0.6720957730572249	0.6706706758731087
01111-11111	14	0.6605264590425732	0.6720957730572249	0.6706706758731087
01111-11111	15	0.6605264590425732	0.6815376725359887	0.6720957730572249
01111-11111	16	0.6652641300115854	0.6855316371275718	0.6720957730572249
01111-11111	17	0.6691595441149132	0.6860272222753653	0.6720957730572249
01111-11111	18	0.6691595441149132	0.7213458120835268	0.6860272222753653
01111-11111	19	0.6742023144428462	0.7233100953809846	0.6860272222753653
01111-11111	20	0.6860272222753653	0.7233100953809846	0.6922936030985789
01111-11111	21	0.6922936030985789	0.725417625920315	0.7233100953809846
01111-11111	22	0.6922936030985789	0.726215204857093	0.725417625920315
01111-11111	23	0.6922936030985789	0.726215204857093	0.725417625920315
01111-11111	24	0.6922936030985789	0.726215204857093	0.725417625920315
01111-11111	25	0.6922936030985789	0.7273317640055439	0.725417625920315
01111-11111	26	0.6922936030985789	0.7273317640055439	0.725417625920315
01111-11111	27	0.725417625920315	0.7325362553561594	0.7273317640055439
01111-11111	28	0.725417625920315	0.7325362553561594	0.7273317640055439
01111-11111	29	0.725417625920315	0.7406021075218366	0.7325362553561594
01111-11111	30	0.725417625920315	0.7406021075218366	0.7325362553561594
01111-11111	31	0.7338973379799719	0.7578858197789451	0.7406021075218366
01111-11111	32	0.7338973379799719	0.7578858197789451	0.7406021075218366
01111-11111	33	0.7338973379799719	0.7578858197789451	0.7406021075218366
01111-11111	34	0.7338973379799719	0.7578858197789451	0.7474194110095939
01111-11111	35	0.7338973379799719	0.7578858197789451	0.7474194110095939
01111-11111	36	0.7338973379799719	0.7578858197789451	0.7474194110095939
01111-11111	37	0.7338973379799719	0.7578858197789451	0.7507202854466517
01111-11111	38	0.7338973379799719	0.7578858197789451	0.7507202854466517
01111-11111	39	0.7543879233445607	0.7722612063897761	0.7578858197789451
01111-11111	40	0.7578858197789451	0.7722612063897761	0.7605552058602959
01111-11111	41	0.7578858197789451	0.9183947130341868	0.7605552058602959
01111-11111	42	0.7578858197789451	0.9183947130341868	0.7605552058602959
01111-11111	43	0.7578858197789451	0.9183947130341868	0.7605552058602959
01111-11111	44	0.7605552058602959	0.9264027330171696	0.7665764847732025
01111-11111	45	0.7605552058602959	0.9264027330171696	0.7665764847732025
01111-11111	46	0.7605552058602959	0.9264027330171696	0.7665764847732025
01111-11111	47	0.7605552058602959	0.9484969714077672	0.7665764847732025
01111-11111	48	0.7605552058602959	0.9484969714077672	0.7738801556012035
01111-11111	49	0.7605552058602959	0.9484969714077672	0.7738801556012035
01111-11111	50	0.7608279665241875	0.9484969714077672	0.7738801556012035
01111-11111	51	0.7664810719441387	0.9484969714077672	0.7738801556012035
01111-11111	52	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	53	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	54	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	55	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	56	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	57	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	58	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	59	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	60	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	61	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	62	0.7664810719441387	1.0346799732280278	0.7738801556012035
01111-11111	63	0.7738801556012035	1.0346799732280278	0.8414069390185898
01111-11111	64	0.7738801556012035	1.0346799732280278	0.8414069390185898
01111-11111	65	0.7834233244898299	1.0346799732280278	0.8414069390185898
01111-11111	66	0.7834233244898299	1.0346799732280278	0.8414069390185898
01111-11111	67	0.7834233244898299	1.1583007783263988	0.8414069390185898
01111-11111	68	0.7834233244898299	1.1583007783263988	0.8414069390185898
01111-11111	69	0.7834233244898299	1.1583007783263988	0.8414069390185898
01111-11111	70	0.7834233244898299	1.1583007783263988	0.8414069390185898
01111-11111	71	0.7834233244898299	1.1583007783263988	0.8414069390185898
01111-11111	72	0.7834233244898299	1.1583007783263988	0.8414069390185898
01111-11111	73	0.7834233244898299	1.1583007783263988	0.8414069390185898
01111-11111	74	0.7834233244898299	1.1583007783263988	0.8414069390185898
01111-11111	75	0.7838709564727617	1.1583007783263988	0.8414069390185898
01111-11111	76	0.7838709564727617	1.1583007783263988	0.8414069390185898
01111-11111	77	0.7838709564727617	1.1594366251744856	0.8414069390185898
01111-11111	78	0.7838709564727617	1.1921328166554976	0.8414069390185898
01111-11111	79	0.7838709564727617	1.1921328166554976	0.8414069390185898
01111-11111	80	0.7838709564727617	1.1921328166554976	0.8414069390185898
01111-11111	81	0.7838709564727617	1.1921328166554976	0.8414069390185898
01111-11111	82	0.7838709564727617	1.1921328166554976	0.8414069390185898
01111-11111	83	0.7838709564727617	1.2692297956240703	0.8414069390185898
01111-11111	84	0.7838709564727617	1.2692297956240703	0.8414069390185898
01111-11111	85	0.7838709564727617	1.2692297956240703	0.8414069390185898
01111-11111	86	0.7838709564727617	1.2692297956240703	0.8414069390185898
01111-11111	87	0.7838709564727617	1.2692297956240703	0.8628231302696493
01111-11111	88	0.7838709564727617	1.2692297956240703	0.8628231302696493
01111-11111	89	0.7838709564727617	1.2692297956240703	0.8628231302696493
01111-11111	90	0.7838709564727617	1.2692297956240703	0.8628231302696493
01111-11111	91	0.7838709564727617	1.298683771591028	0.8628231302696493
01111-11111	92	0.7876315178162624	1.3217231047483835	0.8628231302696493
01111-11111	93	0.7876315178162624	1.3217231047483835	0.8628231302696493
01111-11111	94	0.7876315178162624	1.3217231047483835	0.8628231302696493
01111-11111	95	0.7876315178162624	1.3217231047483835	0.8628231302696493
01111-11111	96	0.7876315178162624	1.3217231047483835	0.8628231302696493
01111-11111	97	0.7876315178162624	1.3217231047483835	0.8628231302696493
01111-11111	98	0.7876315178162624	1.39336361975616	0.8635917487836787
01111-11111	99	0.7876315178162624	1.39336361975616	0.8635917487836787
01111-11111	100	0.7876315178162624	1.39336361975616	0.8635917487836787
01111-11111	101	0.7876315178162624	1.39336361975616	0.8635917487836787
01111-11111	102	0.7876315178162624	1.39336361975616	0.8635917487836787
01111-11111	103	0.7876315178162624	1.39336361975616	0.8635917487836787
01111-11111	104	0.7887288114508191	1.39336361975616	0.8635917487836787
01111-11111	105	0.7887288114508191	1.39336361975616	0.8635917487836787
01111-11111	106	0.7887288114508191	1.39336361975616	0.8635917487836787
01111-11111	107	0.7887288114508191	1.39336361975616	0.8635917487836787
01111-11111	108	0.7887288114508191	1.39336361975616	0.8635917487836787
01111-11111	109	0.7887288114508191	1.39336361975616	0.8635917487836787
01111-11111	110	0.7887288114508191	1.39336361975616	0.8635917487836787
01111-11111	111	0.7887288114508191	1.39336361975616	0.8635917487836787
01111-11111	112	0.7887288114508191	1.39336361975616	0.8635917487836787
01111-11111	113	0.7887288114508191	1.39336361975616	0.8635917487836787
01111-11111	114	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	115	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	116	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	117	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	118	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	119	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	120	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	121	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	122	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	123	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	124	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	125	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	126	0.7887288114508191	1.39336361975616	0.8901309096273348
01111-11111	127	0.7887288114508191	1.4056175555464716	0.8901309096273348
01111-11111	128	0.7887288114508191	1.4056175555464716	0.8901309096273348
01111-11111	129	0.7887288114508191	1.4056175555464716	0.8901309096273348
01111-11111	130	0.7887288114508191	1.4056175555464716	0.8901309096273348
01111-11111	131	0.7986670897479887	1.4056175555464716	0.8901309096273348
01111-11111	132	0.7986670897479887	1.4056175555464716	0.8901309096273348
01111-11111	133	0.7986670897479887	1.4056175555464716	0.8901309096273348
01111-11111	134	0.7986670897479887	1.4056175555464716	0.8901309096273348
01111-11111	135	0.7986670897479887	1.4056175555464716	0.8901309096273348
01111-11111	136	0.7986670897479887	1.4056175555464716	0.8901309096273348
01111-11111	137	0.7986670897479887	1.4056175555464716	0.8901309096273348
01111-11111	138	0.7986670897479887	1.4056175555464716	0.8901309096273348
01111-11111	139	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	140	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	141	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	142	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	143	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	144	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	145	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	146	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	147	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	148	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	149	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	150	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	151	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	152	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	153	0.7986670897479887	1.418249511353095	0.8901309096273348
01111-11111	154	0.7986670897479887	1.4495725933056778	0.8901309096273348
01111-11111	155	0.7986670897479887	1.4495725933056778	0.8901309096273348
01111-11111	156	0.7986670897479887	1.4495725933056778	0.8901309096273348
01111-11111	157	0.7986670897479887	1.4495725933056778	0.8901309096273348
01111-11111	158	0.7986670897479887	1.47989631077463	0.8901309096273348
01111-11111	159	0.7986670897479887	1.47989631077463	0.8901309096273348
01111-11111	160	0.7986670897479887	1.6054329204698945	0.8901309096273348
01111-11111	161	0.7986670897479887	1.6054329204698945	0.8901309096273348
01111-11111	162	0.7986670897479887	1.6054329204698945	0.8901309096273348
01111-11111	163	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	164	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	165	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	166	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	167	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	168	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	169	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	170	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	171	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	172	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	173	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	174	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	175	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	176	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	177	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	178	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	179	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	180	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	181	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	182	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	183	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	184	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	185	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	186	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	187	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	188	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	189	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	190	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	191	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	192	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	193	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	194	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	195	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	196	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	197	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	198	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	199	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	200	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	201	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	202	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	203	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	204	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	205	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	206	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	207	0.8143682011966891	1.6054329204698945	0.8901309096273348
01111-11111	208	0.8143682011966891	1.6054329204698945	0.8901309096273348
