shape	iterations	best_vx_q1	best_vx_q3	best_vx_median
011111-111111-110011-110011	0	0.0136365928661643	0.1677724961733538	0.0162168680503618
011111-111111-110011-110011	1	0.0154067128555794	0.1677724961733538	0.0162168680503618
011111-111111-110011-110011	2	0.0267266727270067	0.1677724961733538	0.1579085056284575
011111-111111-110011-110011	3	0.22138874011098	0.3260434064605596	0.2413341394903822
011111-111111-110011-110011	4	0.22138874011098	0.3260434064605596	0.2648663973585035
011111-111111-110011-110011	5	0.2648663973585035	0.3284067585639302	0.3260434064605596
011111-111111-110011-110011	6	0.305069817347607	0.6824030419249203	0.6350925267814451
011111-111111-110011-110011	7	0.6350925267814451	0.8410106145656459	0.6824030419249203
011111-111111-110011-110011	8	0.6350925267814451	0.8410106145656459	0.6824030419249203
011111-111111-110011-110011	9	0.6824030419249203	0.9242639222330528	0.7251039247315424
011111-111111-110011-110011	10	0.6824030419249203	0.9242639222330528	0.7251039247315424
011111-111111-110011-110011	11	0.6824030419249203	0.9673051767490656	0.7742961884194975
011111-111111-110011-110011	12	0.7293911243916561	0.9869001124947908	0.7742961884194975
011111-111111-110011-110011	13	0.7293911243916561	0.9869001124947908	0.7867806162002114
011111-111111-110011-110011	14	0.7867806162002114	1.2815089717331	0.8661192919358885
011111-111111-110011-110011	15	0.7867806162002114	1.2815089717331	0.8661192919358885
011111-111111-110011-110011	16	0.9663282899602949	1.3056933027034276	1.0181241166552315
011111-111111-110011-110011	17	0.9663282899602949	1.3056933027034276	1.0181241166552315
011111-111111-110011-110011	18	0.9663282899602949	1.3056933027034276	1.196419454766034
011111-111111-110011-110011	19	0.9663282899602949	1.4226446564219302	1.4149673429345082
011111-111111-110011-110011	20	0.9663282899602949	1.4226446564219302	1.4149673429345082
011111-111111-110011-110011	21	1.0459903616072794	1.4226446564219302	1.4149673429345082
011111-111111-110011-110011	22	1.0459903616072794	1.4226446564219302	1.4149673429345082
011111-111111-110011-110011	23	1.1575936184942566	1.4226446564219302	1.4149673429345082
