shape	iterations	best_vx_q1	best_vx_q3	best_vx_median
1111111-1010101	0	0.0165927066442603	0.0173743514176816	0.016628659116342
1111111-1010101	1	0.0173743514176816	0.066533003250221	0.0539644410940962
1111111-1010101	2	0.0181726630326638	0.066533003250221	0.0539644410940962
1111111-1010101	3	0.0262811449320863	0.1541541877000282	0.066533003250221
1111111-1010101	4	0.066533003250221	0.2049362255157615	0.0921593992532623
1111111-1010101	5	0.1360606650069368	0.2459006095738328	0.208345775015611
1111111-1010101	6	0.1360606650069368	0.2749521432822936	0.2279650649524237
1111111-1010101	7	0.2605138646457389	0.3485388667295755	0.2749521432822936
1111111-1010101	8	0.2605138646457389	0.353287567114656	0.3493978176103191
1111111-1010101	9	0.2860138209055424	0.6159172853101047	0.4100718927042182
1111111-1010101	10	0.5369794389655331	0.7900610602102007	0.6159172853101047
1111111-1010101	11	0.6267634857785557	0.8232974450583753	0.7900610602102007
1111111-1010101	12	0.6763281138535515	0.8604532891565884	0.8232974450583753
1111111-1010101	13	0.8604532891565884	1.075641632793913	0.9880884173233884
1111111-1010101	14	0.9077067035933732	1.075641632793913	1.0742022044464787
1111111-1010101	15	0.9077067035933732	1.1701401058343768	1.075641632793913
1111111-1010101	16	0.9077067035933732	1.1907379219972178	1.075641632793913
1111111-1010101	17	0.9077067035933732	1.3567874791642969	1.075641632793913
1111111-1010101	18	0.9077067035933732	1.5108224514105542	1.4641312574477248
1111111-1010101	19	0.9634510979006424	1.5279056814803778	1.4641312574477248
1111111-1010101	20	1.0985390464168512	1.533251438307885	1.5279056814803778
1111111-1010101	21	1.2146155381281565	1.540655207584399	1.533251438307885
1111111-1010101	22	1.269210535245714	1.5518444199021606	1.540655207584399
1111111-1010101	23	1.2835486396910871	1.5518444199021606	1.540655207584399
1111111-1010101	24	1.3595473334017754	1.5518444199021606	1.540655207584399
1111111-1010101	25	1.437718364545837	1.6305412119925096	1.540655207584399
1111111-1010101	26	1.437718364545837	1.6305412119925096	1.5514820554126747
1111111-1010101	27	1.4408200765444423	1.6305412119925096	1.576810685225825
1111111-1010101	28	1.5113715118536624	1.6305412119925096	1.576810685225825
1111111-1010101	29	1.5113715118536624	1.64766113294842	1.576810685225825
1111111-1010101	30	1.5476044087901744	1.64766113294842	1.576810685225825
1111111-1010101	31	1.5476044087901744	1.6834870893474816	1.576810685225825
1111111-1010101	32	1.5476044087901744	1.6841514267606257	1.576810685225825
