shape	iterations	best_vx_q1	best_vx_q3	best_vx_median
111111-111111-110011-110001	0	0.0127680461553233	0.0246376498311183	0.0144497832723603
111111-111111-110011-110001	1	0.0131001570568899	0.0261344223105123	0.0206148246098676
111111-111111-110011-110001	2	0.0133005557499402	0.0444475613088867	0.0261344223105123
111111-111111-110011-110001	3	0.0169041085718443	0.2635121909601138	0.0444475613088867
111111-111111-110011-110001	4	0.0185501050438798	0.2635121909601138	0.1928753153661067
111111-111111-110011-110001	5	0.0185501050438798	0.2635121909601138	0.1928753153661067
111111-111111-110011-110001	6	0.0185501050438798	0.4155214853854087	0.1928753153661067
111111-111111-110011-110001	7	0.0185501050438798	0.5213962807407742	0.2609875826264205
111111-111111-110011-110001	8	0.0493837710925187	0.5213962807407742	0.2609875826264205
111111-111111-110011-110001	9	0.0555959841372904	0.6755755980068742	0.2946044720048447
111111-111111-110011-110001	10	0.3629560054674132	0.8080801568201346	0.6655075144074302
111111-111111-110011-110001	11	0.5740521547517204	0.8420036469910265	0.6655075144074302
111111-111111-110011-110001	12	0.5740521547517204	1.0575517827086562	0.6655075144074302
111111-111111-110011-110001	13	0.6655075144074302	1.0575517827086562	0.6712818747675353
111111-111111-110011-110001	14	0.6655075144074302	1.0688660497415845	0.6712818747675353
111111-111111-110011-110001	15	0.6655075144074302	1.166060975303591	0.6712818747675353
111111-111111-110011-110001	16	0.6712818747675353	1.2632407236001837	0.8823439377599982
111111-111111-110011-110001	17	0.6712818747675353	1.2632407236001837	0.974620251551678
111111-111111-110011-110001	18	0.8816852985154611	1.4032609517694008	1.1494685058861969
111111-111111-110011-110001	19	0.8816852985154611	1.4032609517694008	1.1494685058861969
111111-111111-110011-110001	20	0.8816852985154611	1.4721055645443115	1.1822234139633927
111111-111111-110011-110001	21	0.8816852985154611	1.4721055645443115	1.248390208366595
111111-111111-110011-110001	22	0.914476827972535	1.4733439557754788	1.2778955645613608
111111-111111-110011-110001	23	0.914476827972535	1.6025830844210447	1.2795374364724053
111111-111111-110011-110001	24	0.914476827972535	1.6025830844210447	1.3154308031164594
111111-111111-110011-110001	25	0.914476827972535	1.6025830844210447	1.3154308031164594
111111-111111-110011-110001	26	0.914476827972535	1.6025830844210447	1.3221894244685732
111111-111111-110011-110001	27	0.914476827972535	1.6025830844210447	1.3518555760439055
111111-111111-110011-110001	28	1.2113037832838052	1.6027722157686457	1.4032328637613445
111111-111111-110011-110001	29	1.2113037832838052	1.6027722157686457	1.4032328637613445
111111-111111-110011-110001	30	1.224518995690781	1.6996022285143504	1.4032328637613445
111111-111111-110011-110001	31	1.2856232320981773	1.6996022285143504	1.6715044338991414
111111-111111-110011-110001	32	1.4099889774484602	1.6996022285143504	1.6715044338991414
111111-111111-110011-110001	33	1.4099889774484602	1.6996022285143504	1.6715044338991414
111111-111111-110011-110001	34	1.4099889774484602	1.6996022285143504	1.6715044338991414
111111-111111-110011-110001	35	1.454476921226951	1.6996022285143504	1.6715044338991414
111111-111111-110011-110001	36	1.454476921226951	1.6996022285143504	1.6715044338991414
111111-111111-110011-110001	37	1.454476921226951	1.6996022285143504	1.6715044338991414
111111-111111-110011-110001	38	1.454476921226951	1.6996022285143504	1.6715044338991414
111111-111111-110011-110001	39	1.454476921226951	1.6996022285143504	1.6715044338991414
111111-111111-110011-110001	40	1.6497131278100503	1.7922156516569163	1.6996022285143504
111111-111111-110011-110001	41	1.6497131278100503	1.7922156516569163	1.6996022285143504
111111-111111-110011-110001	42	1.6497131278100503	1.7922156516569163	1.6996022285143504
111111-111111-110011-110001	43	1.6497131278100503	1.7922156516569163	1.6996022285143504
111111-111111-110011-110001	44	1.6497131278100503	1.7922156516569163	1.6996022285143504
111111-111111-110011-110001	45	1.6685834222299962	1.7922156516569163	1.6996022285143504
111111-111111-110011-110001	46	1.6996022285143504	1.7922156516569163	1.7125034362802058
111111-111111-110011-110001	47	1.6996022285143504	1.7922156516569163	1.7125034362802058
111111-111111-110011-110001	48	1.6996022285143504	1.793119281690458	1.789594204555336
111111-111111-110011-110001	49	1.6996022285143504	1.796784242961311	1.7925918407836454
111111-111111-110011-110001	50	1.6996022285143504	2.042921246671238	1.8093205753479196
111111-111111-110011-110001	51	1.729818098903805	2.0594532000517085	1.8093205753479196
111111-111111-110011-110001	52	1.729818098903805	2.0594532000517085	1.823252504972693
111111-111111-110011-110001	53	1.729818098903805	2.142915502342693	1.9345399698708696
111111-111111-110011-110001	54	1.729818098903805	2.187182004678802	1.9345399698708696
111111-111111-110011-110001	55	1.729818098903805	2.227959229363859	1.9345399698708696
111111-111111-110011-110001	56	1.733044853499644	2.227959229363859	1.9345399698708696
111111-111111-110011-110001	57	1.733044853499644	2.227959229363859	1.9345399698708696
111111-111111-110011-110001	58	1.733044853499644	2.227959229363859	1.9345399698708696
111111-111111-110011-110001	59	1.733044853499644	2.227959229363859	1.9345399698708696
111111-111111-110011-110001	60	1.733044853499644	2.227959229363859	1.9345399698708696
111111-111111-110011-110001	61	1.7611251574242843	2.227959229363859	1.9345399698708696
111111-111111-110011-110001	62	1.7611251574242843	2.227959229363859	1.9345399698708696
111111-111111-110011-110001	63	1.7611251574242843	2.227959229363859	1.9345399698708696
111111-111111-110011-110001	64	1.7845618095786877	2.227959229363859	1.9345399698708696
