shape	iterations	best_vx_q1	best_vx_q3	best_vx_median
0111-1111-1001	0	0.0145068128938764	0.0170372595581646	0.0147523830599139
0111-1111-1001	1	0.0170372595581646	0.089115439201302	0.0474717145014665
0111-1111-1001	2	0.0576773837706872	0.1007773215437699	0.089115439201302
0111-1111-1001	3	0.085147405832581	0.1124827811115897	0.089115439201302
0111-1111-1001	4	0.1729325439751321	0.4110865944779894	0.177865060700553
0111-1111-1001	5	0.3719008833259297	0.8126841815021741	0.4110865944779894
0111-1111-1001	6	0.4110865944779894	0.9483791874505214	0.5523496146031678
0111-1111-1001	7	0.4110865944779894	1.0690557853111908	0.5523496146031678
0111-1111-1001	8	0.7348701997188792	1.441285992203089	0.8647330759353284
0111-1111-1001	9	0.8192045553002724	1.729500150272676	1.0580167852066285
0111-1111-1001	10	0.8453919409161215	2.735503696756463	1.0580167852066285
0111-1111-1001	11	1.3707173522969165	2.735503696756463	1.7094187839428787
0111-1111-1001	12	1.7094187839428787	2.735503696756463	1.7578418422618682
0111-1111-1001	13	1.7094187839428787	2.735503696756463	1.7578418422618682
0111-1111-1001	14	1.7094187839428787	2.735503696756463	1.7578418422618682
0111-1111-1001	15	1.9051457905289888	2.772074601641985	2.324594198637368
0111-1111-1001	16	2.324594198637368	2.8563971613447765	2.372892791614744
0111-1111-1001	17	2.4205486391554905	2.9188043132756976	2.498747628509633
0111-1111-1001	18	2.4205486391554905	3.0451594931452544	2.498747628509633
0111-1111-1001	19	2.738301451371269	3.146165621423389	2.8087166948052427
0111-1111-1001	20	2.8087166948052427	3.146165621423389	3.044787503415636
0111-1111-1001	21	2.8087166948052427	3.146165621423389	3.044787503415636
0111-1111-1001	22	2.8087166948052427	3.146165621423389	3.044787503415636
0111-1111-1001	23	3.00710451357205	3.146165621423389	3.044787503415636
0111-1111-1001	24	3.00710451357205	3.1885049529913365	3.044787503415636
0111-1111-1001	25	3.00710451357205	3.1885049529913365	3.044787503415636
0111-1111-1001	26	3.00710451357205	3.1885049529913365	3.044787503415636
0111-1111-1001	27	3.044787503415636	3.212420232373201	3.106481494601266
0111-1111-1001	28	3.044787503415636	3.212420232373201	3.106481494601266
0111-1111-1001	29	3.106481494601266	3.279917987209544	3.1305156324614134
0111-1111-1001	30	3.106481494601266	3.305642712684419	3.1305156324614134
0111-1111-1001	31	3.106481494601266	3.3512451695164227	3.1305156324614134
0111-1111-1001	32	3.106481494601266	3.380849900252489	3.1305156324614134
