target_set	step	accuracy_q1	accuracy_q3	accuracy_median
3	0	0.0	0.28055555555555556	0.1
3	1	0.1111111111111111	0.3333333333333333	0.2222222222222222
3	2	0.2222222222222222	0.5	0.3666666666666667
3	3	0.4444444444444444	0.7	0.5555555555555556
3	4	0.6	0.8888888888888888	0.6666666666666666
3	5	0.7	1.0	0.8888888888888888
3	6	0.8888888888888888	1.0	0.9
3	7	1.0	1.0	1.0
3	8	1.0	1.0	1.0
3	9	1.0	1.0	1.0
3	10	1.0	1.0	1.0
3	11	1.0	1.0	1.0
3	12	1.0	1.0	1.0
3	13	1.0	1.0	1.0
3	14	1.0	1.0	1.0
3	15	1.0	1.0	1.0
3	16	1.0	1.0	1.0
3	17	1.0	1.0	1.0
3	18	1.0	1.0	1.0
3	19	1.0	1.0	1.0
3	20	1.0	1.0	1.0
3	21	1.0	1.0	1.0
3	22	1.0	1.0	1.0
3	23	1.0	1.0	1.0
3	24	1.0	1.0	1.0
3	25	1.0	1.0	1.0
3	26	1.0	1.0	1.0
3	27	1.0	1.0	1.0
3	28	1.0	1.0	1.0
3	29	1.0	1.0	1.0
3	30	1.0	1.0	1.0
3	31	1.0	1.0	1.0
3	32	1.0	1.0	1.0
3	33	1.0	1.0	1.0
3	34	1.0	1.0	1.0
3	35	1.0	1.0	1.0
3	36	1.0	1.0	1.0
3	37	1.0	1.0	1.0
3	38	1.0	1.0	1.0
3	39	1.0	1.0	1.0
3	40	1.0	1.0	1.0
3	41	1.0	1.0	1.0
3	42	1.0	1.0	1.0
3	43	1.0	1.0	1.0
3	44	1.0	1.0	1.0
3	45	1.0	1.0	1.0
3	46	1.0	1.0	1.0
3	47	1.0	1.0	1.0
3	48	1.0	1.0	1.0
3	49	1.0	1.0	1.0
3	50	1.0	1.0	1.0
3	51	1.0	1.0	1.0
3	52	1.0	1.0	1.0
3	53	1.0	1.0	1.0
3	54	1.0	1.0	1.0
3	55	1.0	1.0	1.0
3	56	1.0	1.0	1.0
3	57	1.0	1.0	1.0
3	58	1.0	1.0	1.0
3	59	1.0	1.0	1.0
3	60	1.0	1.0	1.0
3	61	1.0	1.0	1.0
3	62	1.0	1.0	1.0
3	63	1.0	1.0	1.0
3	64	1.0	1.0	1.0
3	65	1.0	1.0	1.0
3	66	1.0	1.0	1.0
3	67	0.9	1.0	1.0
3	68	0.9	1.0	1.0
3	69	0.8888888888888888	1.0	1.0
3	70	0.8888888888888888	1.0	1.0
3	71	0.8888888888888888	1.0	1.0
3	72	0.8181818181818182	1.0	1.0
3	73	0.8	1.0	1.0
3	74	0.7777777777777778	1.0	1.0
3	75	0.7777777777777778	1.0	1.0
3	76	0.7777777777777778	1.0	1.0
3	77	0.7777777777777778	1.0	1.0
3	78	0.7777777777777778	1.0	1.0
3	79	0.7	1.0	1.0
3	80	0.6749999999999999	1.0	1.0
3	81	0.6666666666666666	1.0	1.0
3	82	0.6666666666666666	1.0	0.9545454545454546
3	83	0.6666666666666666	1.0	0.9
3	84	0.6666666666666666	1.0	0.9
3	85	0.6	1.0	0.9
3	86	0.5666666666666667	1.0	0.9
3	87	0.5555555555555556	1.0	0.8944444444444444
3	88	0.5555555555555556	1.0	0.8888888888888888
3	89	0.5555555555555556	1.0	0.8888888888888888
3	90	0.5555555555555556	1.0	0.8888888888888888
3	91	0.5555555555555556	1.0	0.8888888888888888
3	92	0.5555555555555556	1.0	0.8888888888888888
3	93	0.5113636363636364	1.0	0.8181818181818182
3	94	0.5	1.0	0.8090909090909091
3	95	0.5113636363636364	1.0	0.8
3	96	0.5	1.0	0.7777777777777778
3	97	0.5	1.0	0.7777777777777778
3	98	0.5	1.0	0.7777777777777778
3	99	0.4583333333333333	1.0	0.7777777777777778
3	100	0.4444444444444444	0.975	0.7777777777777778
