iterations	0111-1111-1001	01111-11111	011111-111111-110011-110011	01111111-11111111-11111111	111	1110-1111-1001	1111	1111-0001	1111-1000	1111-1001	1111-1111-0001	1111-1111-1000	1111-1111-1001	11110-11111	11111-00101	11111-01111	11111-10001	11111-10100	11111-10101	11111-11110	11111-11111	111110-111111-110011-110011	111111-111111-110011-100011	111111-111111-110011-110001	111111-111111-110011-110011	1111111-0010101	1111111-1000101	1111111-1010001	1111111-1010100	1111111-1010101	11111110-11111111-11111111	11111111-11111111-01111111	11111111-11111111-11111110	11111111-11111111-11111111	111111111-111111111-001010101	111111111-111111111-100010101	111111111-111111111-101000101	111111111-111111111-101010100	111111111-111111111-101010101
0	0.0147523830599139	0.2427576865343633	0.0162168680503618	0.2356588693499028	0.0109454036357639	0.0095210550219448	0.0224401080540868	0.0072325568881183	0.0104299434480617	0.0115815356158514	0.1605730718970796	0.0031445291511968	0.0135296955031384	0.1332693991874464	0.0208717294484912	0.1197747872807318	0.01270702047845	0.0899039549503779	0.0168949958407155	0.0834278065638723	0.1570338218254053	0.0232604644117021	0.0442804846745205	0.0144497832723603	0.0604985708422698	0.0129083365653165	0.0181555585080525	0.0148714176884928	0.0243966203260686	0.016628659116342	0.2434672219505941	0.1467500998756608	0.2230391562381102	0.2367514802871344	0.0155350721019126	0.0196389015927072	0.0175693482271112	0.0317284756111642	0.0624117771092602
1	0.0474717145014665	0.2800478721494543	0.0162168680503618	0.4450698944417812	0.0246947045259302	0.0109739507572655	0.0360879521779227	0.0321837321537892	0.0110676774237874	0.0153128178142773	0.418549539097874	0.0040804586784295	0.0171128425050003	0.1801831424830641	0.0663511513184441	0.2331748535253064	0.0131700406257864	0.1411141659295147	0.0213326448021789	0.1338014068817114	0.2821201913941163	0.1001562490616065	0.0723312229184398	0.0206148246098676	0.1192383587164638	0.013728789191523	0.1408208814901556	0.0160822924226621	0.0537079508248318	0.0539644410940962	0.258785200214871	0.3863634142732304	0.388219628983708	0.2367514802871344	0.1019805737623681	0.0228206456778272	0.0282975193184868	0.5360525002945038	0.197167415708292
2	0.089115439201302	0.3068981826347656	0.1579085056284575	0.4450698944417812	0.0246947045259302	0.0380033223612529	0.0442364957269154	0.0423935669498048	0.0110676774237874	0.0153128178142773	0.418549539097874	0.0047866890024296	0.0305581147105132	0.2796972390439691	0.0703667725802282	0.3447557634007993	0.0132770921085415	0.1411141659295147	0.0321084905602051	0.1501618245573773	0.3144042444416563	0.2442416864248497	0.5164094368589143	0.0261344223105123	0.1208485850595516	0.0143585757989232	0.2545529824361988	0.0201876537503554	0.0537079508248318	0.0539644410940962	0.3707787765814824	0.4012485311693201	0.5003999204018508	0.326166886891327	0.2469016074968288	0.0228206456778272	0.0716762763848595	0.5637302697158386	0.197167415708292
3	0.089115439201302	0.4431277590240259	0.2413341394903822	0.4450698944417812	0.0439776701428328	0.1328120050782116	0.0805573742383439	0.0480603288418986	0.0110922687628892	0.0153128178142773	0.5110484603439622	0.0048377645949439	0.0305581147105132	0.3091286036218826	0.1019077997579201	0.3447557634007993	0.0133660737075715	0.1411141659295147	0.0374278330861974	0.2271855051715572	0.3589668153104687	0.3821507691979112	0.7146592584870951	0.0444475613088867	0.2600967541479449	0.0690582229234121	0.2545529824361988	0.0201876537503554	0.1018375382526136	0.066533003250221	0.450954624991535	0.4539711144643029	0.5196370555562915	0.3533338845103512	0.2469016074968288	0.1044552622187404	0.3444598652041095	0.839711782310016	0.2264871731580963
4	0.177865060700553	0.4431277590240259	0.2648663973585035	0.5056041411394384	0.0507840973549873	0.1343621920926529	0.0928457497141109	0.3026269088646913	0.011306375959028	0.0153128178142773	0.9250538417005528	0.005490326503297	0.1070196481573382	0.3521238300948401	0.1283012839080387	0.3840913706394434	0.0134000973799254	0.1469473558030664	0.0606808721750744	0.2271855051715572	0.4605367347677824	0.3852367642426401	0.8822941651379291	0.1928753153661067	0.2600967541479449	0.0690582229234121	0.4953155414044026	0.0201876537503554	0.2133769454932449	0.0921593992532623	0.4905081030558877	0.4573136251015444	0.5196370555562915	0.5424143540172799	0.2469016074968288	0.4222964367849755	0.3714281954079251	0.9744565531229908	0.4318071665574141
5	0.4110865944779894	0.5047147191889128	0.3260434064605596	0.5614569423649117	0.0507840973549873	1.0751728975243922	0.0928457497141109	0.4699631819613872	0.0116475237195983	0.0927464004713573	0.9476128689524432	0.0055995779920853	0.4475340919149633	0.5140742138828993	0.2314230906785911	0.3840913706394434	0.013625104274374	0.1522095613490814	0.0606808721750744	0.2903102759433734	0.4671249636221108	0.4349083952034909	1.157580617320811	0.1928753153661067	0.3483251208540504	0.0690582229234121	0.8399980005331352	0.0272802757483461	0.2133769454932449	0.208345775015611	0.5215194236920753	0.4938281808530088	0.5196370555562915	0.5424143540172799	0.3448257797166811	0.4222964367849755	0.3714281954079251	1.1792285253750323	0.6203717135393513
6	0.5523496146031678	0.5451722526728265	0.6350925267814451	0.6335526030224511	0.0688257745919776	1.0751728975243922	0.1692602196805805	0.5983515106064906	0.0116475237195983	0.1128527264508531	0.9476128689524432	0.0057994131213353	0.6045056884423057	0.540180194102069	0.2314230906785911	0.3840913706394434	0.013625104274374	0.19560507202869	0.0606808721750744	0.4031883825047102	0.5045060486247311	0.5080535579396307	1.2019662431917588	0.1928753153661067	0.6683376488211766	0.1228519639561726	0.8399980005331352	0.0468746689491497	0.2335040133524538	0.2279650649524237	0.5858910642796761	0.6145716865054371	0.5608020437123334	0.5824486589224499	0.434735312825731	0.4480687156420757	0.6108888157391181	1.1792285253750323	0.6203717135393513
7	0.5523496146031678	0.5781488444568055	0.6824030419249203	0.6335526030224511	0.0798342569343403	1.0751728975243922	0.1692602196805805	0.599221638631893	0.0116475237195983	0.2840972724795118	1.2688051064165744	0.0063581163844784	0.8724341130769447	0.5541946306245389	0.2314230906785911	0.4665865690193569	0.013625104274374	0.19560507202869	0.1763546856535481	0.4031883825047102	0.5251879085128519	0.6369157776419857	1.3798928935189256	0.2609875826264205	0.6683376488211766	0.1572261801857774	0.8678690716341103	0.0468746689491497	0.2619110072402972	0.2749521432822936	0.7497907076785139	0.6288815313494489	0.6050974952176358	0.6411745498282047	0.6739792885011293	0.4991293816424725	0.6681248461758991	1.261735430285602	0.8445699755087098
8	0.8647330759353284	0.5937295377706321	0.6824030419249203	0.6640615284530669	0.1092383879205468	1.246250608540659	0.1692602196805805	1.364584993882342	0.0116475237195983	0.3761613692396393	1.346697219367376	0.0064233358418402	1.1424291037667926	0.6730421608597242	0.4756019866792607	0.6071812664983043	0.0155761587165033	0.19560507202869	0.331959856984876	0.468773773455669	0.5740669250937118	0.7498620995752087	1.3798928935189256	0.2609875826264205	0.6819287483624614	0.4324460958946062	0.8678690716341103	0.0468746689491497	0.4865397837522264	0.3493978176103191	0.7497907076785139	0.6453805494824163	0.6610854420488482	0.6449223943099289	0.6739792885011293	0.7253371307884656	0.798013119455511	1.8223587907001575	1.0099138592118848
9	1.0580167852066285	0.6050747594624024	0.7251039247315424	0.6885938620350692	0.1092383879205468	1.246250608540659	0.2475730019073416	1.969408100946616	0.0125689643908201	0.3761613692396393	1.346697219367376	0.0068916894079799	1.5446807912033462	0.6730421608597242	0.5936059500112969	0.6071812664983043	0.017256871367481	0.19560507202869	0.3421543387187628	0.560496913584489	0.5970781099362561	0.8436587611405509	1.690605554211914	0.2946044720048447	0.6819287483624614	0.4400706612204377	0.8678690716341103	0.0468746689491497	0.5111417372582592	0.4100718927042182	0.7497907076785139	0.6576622356373393	0.6610854420488482	0.6598718134255704	0.6739792885011293	0.8536966839003013	0.9942538232188636	1.8837013550729995	1.0340645540463826
