target_set	step	accuracy_q1	accuracy_q3	accuracy_median
2	0	0.0	0.48863636363636365	0.25
2	1	0.1666666666666666	0.6	0.42500000000000004
2	2	0.3333333333333333	0.8295454545454546	0.6363636363636364
2	3	0.5	0.9166666666666666	0.7386363636363636
2	4	0.6666666666666666	1.0	0.875
2	5	0.8	1.0	1.0
2	6	0.9090909090909092	1.0	1.0
2	7	1.0	1.0	1.0
2	8	1.0	1.0	1.0
2	9	1.0	1.0	1.0
2	10	1.0	1.0	1.0
2	11	1.0	1.0	1.0
2	12	1.0	1.0	1.0
2	13	1.0	1.0	1.0
2	14	1.0	1.0	1.0
2	15	1.0	1.0	1.0
2	16	1.0	1.0	1.0
2	17	1.0	1.0	1.0
2	18	1.0	1.0	1.0
2	19	1.0	1.0	1.0
2	20	1.0	1.0	1.0
2	21	1.0	1.0	1.0
2	22	1.0	1.0	1.0
2	23	1.0	1.0	1.0
2	24	1.0	1.0	1.0
2	25	1.0	1.0	1.0
2	26	1.0	1.0	1.0
2	27	1.0	1.0	1.0
2	28	1.0	1.0	1.0
2	29	1.0	1.0	1.0
2	30	1.0	1.0	1.0
2	31	1.0	1.0	1.0
2	32	1.0	1.0	1.0
2	33	1.0	1.0	1.0
2	34	1.0	1.0	1.0
2	35	1.0	1.0	1.0
2	36	1.0	1.0	1.0
2	37	1.0	1.0	1.0
2	38	1.0	1.0	1.0
2	39	1.0	1.0	1.0
2	40	1.0	1.0	1.0
2	41	1.0	1.0	1.0
2	42	1.0	1.0	1.0
2	43	1.0	1.0	1.0
2	44	1.0	1.0	1.0
2	45	1.0	1.0	1.0
2	46	1.0	1.0	1.0
2	47	1.0	1.0	1.0
2	48	1.0	1.0	1.0
2	49	1.0	1.0	1.0
2	50	1.0	1.0	1.0
2	51	1.0	1.0	1.0
2	52	1.0	1.0	1.0
2	53	1.0	1.0	1.0
2	54	1.0	1.0	1.0
2	55	1.0	1.0	1.0
2	56	1.0	1.0	1.0
2	57	1.0	1.0	1.0
2	58	1.0	1.0	1.0
2	59	1.0	1.0	1.0
2	60	0.9145833333333333	1.0	1.0
2	61	0.9022727272727273	1.0	1.0
2	62	0.8709239130434783	1.0	1.0
2	63	0.8375	1.0	1.0
2	64	0.8333333333333334	1.0	1.0
2	65	0.8181818181818182	1.0	1.0
2	66	0.79375	1.0	1.0
2	67	0.7604166666666666	1.0	1.0
2	68	0.75	1.0	1.0
2	69	0.75	1.0	1.0
2	70	0.7302371541501976	1.0	1.0
2	71	0.6354166666666666	1.0	1.0
2	72	0.60625	1.0	1.0
2	73	0.60625	1.0	1.0
2	74	0.5875	1.0	1.0
2	75	0.5475543478260869	1.0	1.0
2	76	0.5054347826086957	1.0	0.9782608695652174
2	77	0.5054347826086957	1.0	0.95
2	78	0.5	1.0	0.9295454545454546
2	79	0.5	1.0	0.9045454545454545
2	80	0.42500000000000004	1.0	0.9
2	81	0.42500000000000004	1.0	0.9
2	82	0.4	1.0	0.9
2	83	0.4	1.0	0.9
2	84	0.4	1.0	0.8875
2	85	0.4	1.0	0.8625
2	86	0.4	1.0	0.8257575757575758
2	87	0.38125	1.0	0.8
2	88	0.38125	1.0	0.8
2	89	0.38125	1.0	0.8
2	90	0.38125	1.0	0.8
2	91	0.38125	1.0	0.8
2	92	0.38125	1.0	0.775
2	93	0.35	1.0	0.775
2	94	0.35	1.0	0.75
2	95	0.30833333333333335	1.0	0.7386363636363636
2	96	0.30833333333333335	1.0	0.7386363636363636
2	97	0.30833333333333335	1.0	0.7041666666666666
2	98	0.30833333333333335	1.0	0.7041666666666666
2	99	0.30833333333333335	1.0	0.7041666666666666
2	100	0.3	1.0	0.6833333333333333
