target_set	step	accuracy_q1	accuracy_q3	accuracy_median
4	0	0.0	0.1111111111111111	0.0
4	1	0.0	0.2105263157894736	0.0869565217391304
4	2	0.0454545454545454	0.32954545454545453	0.1578947368421052
4	3	0.1578947368421052	0.4945652173913043	0.3043478260869565
4	4	0.3181818181818182	0.6666666666666666	0.4472222222222222
4	5	0.4836956521739131	0.8	0.6086956521739131
4	6	0.6	0.9147727272727273	0.7752525252525253
4	7	0.7	1.0	0.8695652173913043
4	8	0.8	1.0	0.9473684210526316
4	9	0.8903508771929824	1.0	1.0
4	10	0.9550395256916997	1.0	1.0
4	11	1.0	1.0	1.0
4	12	1.0	1.0	1.0
4	13	1.0	1.0	1.0
4	14	1.0	1.0	1.0
4	15	1.0	1.0	1.0
4	16	1.0	1.0	1.0
4	17	1.0	1.0	1.0
4	18	1.0	1.0	1.0
4	19	1.0	1.0	1.0
4	20	1.0	1.0	1.0
4	21	1.0	1.0	1.0
4	22	1.0	1.0	1.0
4	23	1.0	1.0	1.0
4	24	1.0	1.0	1.0
4	25	1.0	1.0	1.0
4	26	1.0	1.0	1.0
4	27	1.0	1.0	1.0
4	28	1.0	1.0	1.0
4	29	1.0	1.0	1.0
4	30	1.0	1.0	1.0
4	31	1.0	1.0	1.0
4	32	1.0	1.0	1.0
4	33	1.0	1.0	1.0
4	34	1.0	1.0	1.0
4	35	1.0	1.0	1.0
4	36	1.0	1.0	1.0
4	37	1.0	1.0	1.0
4	38	1.0	1.0	1.0
4	39	1.0	1.0	1.0
4	40	1.0	1.0	1.0
4	41	1.0	1.0	1.0
4	42	1.0	1.0	1.0
4	43	1.0	1.0	1.0
4	44	1.0	1.0	1.0
4	45	1.0	1.0	1.0
4	46	1.0	1.0	1.0
4	47	1.0	1.0	1.0
4	48	1.0	1.0	1.0
4	49	1.0	1.0	1.0
4	50	1.0	1.0	1.0
4	51	1.0	1.0	1.0
4	52	1.0	1.0	1.0
4	53	1.0	1.0	1.0
4	54	1.0	1.0	1.0
4	55	1.0	1.0	1.0
4	56	1.0	1.0	1.0
4	57	1.0	1.0	1.0
4	58	1.0	1.0	1.0
4	59	1.0	1.0	1.0
4	60	0.9565217391304348	1.0	1.0
4	61	0.9480263157894737	1.0	1.0
4	62	0.9216247139588101	1.0	1.0
4	63	0.9022727272727273	1.0	1.0
4	64	0.8960526315789474	1.0	1.0
4	65	0.8888888888888888	1.0	1.0
4	66	0.8888888888888888	1.0	1.0
4	67	0.8888888888888888	1.0	1.0
4	68	0.8571428571428571	1.0	1.0
4	69	0.830091533180778	1.0	1.0
4	70	0.8065217391304348	1.0	1.0
4	71	0.8	1.0	1.0
4	72	0.784324942791762	1.0	1.0
4	73	0.7777777777777778	1.0	1.0
4	74	0.7777777777777778	1.0	1.0
4	75	0.7368421052631579	1.0	1.0
4	76	0.7035714285714285	1.0	1.0
4	77	0.687070938215103	1.0	1.0
4	78	0.6666666666666666	1.0	1.0
4	79	0.6327751196172249	1.0	1.0
4	80	0.6327751196172249	1.0	0.9565217391304348
4	81	0.6127717391304348	1.0	0.9532608695652174
4	82	0.6	1.0	0.9486842105263158
4	83	0.6	1.0	0.9473684210526316
4	84	0.5819377990430622	1.0	0.9090909090909092
4	85	0.5614035087719298	1.0	0.9
4	86	0.5322368421052631	1.0	0.9
4	87	0.5263157894736842	1.0	0.9
4	88	0.5	1.0	0.8947368421052632
4	89	0.5	1.0	0.8888888888888888
4	90	0.5	1.0	0.8888888888888888
4	91	0.5	1.0	0.8695652173913043
4	92	0.4802631578947368	1.0	0.8571428571428571
4	93	0.4444444444444444	1.0	0.8571428571428571
4	94	0.4244851258581235	1.0	0.8571428571428571
4	95	0.4229323308270676	1.0	0.8421052631578947
4	96	0.4229323308270676	1.0	0.8260869565217391
4	97	0.4052631578947368	1.0	0.8221343873517787
4	98	0.4	1.0	0.8
4	99	0.4	1.0	0.8
4	100	0.3763157894736842	1.0	0.7894736842105263
