target_set	variable	step	relative_performance_loss_q1	relative_performance_loss_q3	relative_performance_loss_median
2	majority_vote	0	0.0	0.9944948453568196	0.8070874321930466
2	majority_vote	1	0.0	0.9252956463558858	0.0
2	majority_vote	2	0.0	0.657530085861957	0.0
2	majority_vote	3	0.0	0.0	0.0
2	majority_vote	4	0.0	0.0	0.0
2	majority_vote	5	0.0	0.0	0.0
2	majority_vote	6	0.0	0.0	0.0
2	majority_vote	7	0.0	0.0	0.0
2	majority_vote	8	0.0	0.0	0.0
2	majority_vote	9	0.0	0.0	0.0
2	majority_vote	10	0.0	0.0	0.0
2	majority_vote	11	0.0	0.0	0.0
2	majority_vote	12	0.0	0.0	0.0
2	majority_vote	13	0.0	0.0	0.0
2	majority_vote	14	0.0	0.0	0.0
2	majority_vote	15	0.0	0.0	0.0
2	majority_vote	16	0.0	0.0	0.0
2	majority_vote	17	0.0	0.0	0.0
2	majority_vote	18	0.0	0.0	0.0
2	majority_vote	19	0.0	0.0	0.0
2	majority_vote	20	0.0	0.0	0.0
2	majority_vote	21	0.0	0.0	0.0
2	majority_vote	22	0.0	0.0	0.0
2	majority_vote	23	0.0	0.0	0.0
2	majority_vote	24	0.0	0.0	0.0
2	majority_vote	25	0.0	0.0	0.0
2	majority_vote	26	0.0	0.0	0.0
2	majority_vote	27	0.0	0.0	0.0
2	majority_vote	28	0.0	0.0	0.0
2	majority_vote	29	0.0	0.0	0.0
2	majority_vote	30	0.0	0.0	0.0
2	majority_vote	31	0.0	0.0	0.0
2	majority_vote	32	0.0	0.0	0.0
2	majority_vote	33	0.0	0.0	0.0
2	majority_vote	34	0.0	0.0	0.0
2	majority_vote	35	0.0	0.0	0.0
2	majority_vote	36	0.0	0.0	0.0
2	majority_vote	37	0.0	0.0	0.0
2	majority_vote	38	0.0	0.0	0.0
2	majority_vote	39	0.0	0.0	0.0
2	majority_vote	40	0.0	0.0	0.0
2	majority_vote	41	0.0	0.0	0.0
2	majority_vote	42	0.0	0.0	0.0
2	majority_vote	43	0.0	0.0	0.0
2	majority_vote	44	0.0	0.0	0.0
2	majority_vote	45	0.0	0.0	0.0
2	majority_vote	46	0.0	0.0	0.0
2	majority_vote	47	0.0	0.0	0.0
2	majority_vote	48	0.0	0.0	0.0
2	majority_vote	49	0.0	0.0	0.0
2	majority_vote	50	0.0	0.0	0.0
2	majority_vote	51	0.0	0.0	0.0
2	majority_vote	52	0.0	0.0	0.0
2	majority_vote	53	0.0	0.0	0.0
2	majority_vote	54	0.0	0.0	0.0
2	majority_vote	55	0.0	0.0	0.0
2	majority_vote	56	0.0	0.0	0.0
2	majority_vote	57	0.0	0.0	0.0
2	majority_vote	58	0.0	0.0	0.0
2	majority_vote	59	0.0	0.0	0.0
2	majority_vote	60	0.0	0.0	0.0
2	majority_vote	61	0.0	0.0	0.0
2	majority_vote	62	0.0	0.0	0.0
2	majority_vote	63	0.0	0.0	0.0
2	majority_vote	64	0.0	0.0	0.0
2	majority_vote	65	0.0	0.0	0.0
2	majority_vote	66	0.0	0.0	0.0
2	majority_vote	67	0.0	0.0	0.0
2	majority_vote	68	0.0	0.0	0.0
2	majority_vote	69	0.0	0.0	0.0
2	majority_vote	70	0.0	0.0	0.0
2	majority_vote	71	0.0	0.0	0.0
2	majority_vote	72	0.0	0.0	0.0
2	majority_vote	73	0.0	0.0	0.0
2	majority_vote	74	0.0	0.0	0.0
2	majority_vote	75	0.0	0.0	0.0
2	majority_vote	76	0.0	0.0	0.0
2	majority_vote	77	0.0	0.0	0.0
2	majority_vote	78	0.0	0.0	0.0
2	majority_vote	79	0.0	0.0	0.0
2	majority_vote	80	0.0	0.0	0.0
2	majority_vote	81	0.0	0.0	0.0
2	majority_vote	82	0.0	0.0	0.0
2	majority_vote	83	0.0	0.0	0.0
2	majority_vote	84	0.0	0.0	0.0
2	majority_vote	85	0.0	0.0	0.0
2	majority_vote	86	0.0	0.0	0.0
2	majority_vote	87	0.0	0.0	0.0
2	majority_vote	88	0.0	0.0	0.0
2	majority_vote	89	0.0	0.0	0.0
2	majority_vote	90	0.0	0.37290400303437027	0.0
2	majority_vote	91	0.0	0.37290400303437027	0.0
2	majority_vote	92	0.0	0.37290400303437027	0.0
2	majority_vote	93	0.0	0.43766560875771066	0.0
2	majority_vote	94	0.0	0.43766560875771066	0.0
2	majority_vote	95	0.0	0.540970613419712	0.0
2	majority_vote	96	0.0	0.540970613419712	0.0
2	majority_vote	97	0.0	0.5687419800117596	0.0
2	majority_vote	98	0.0	0.5687419800117596	0.0
2	majority_vote	99	0.0	0.5687419800117596	0.0
2	majority_vote	100	0.0	0.5311574469052864	0.0
