target_set	iteration	accuracy_q1	accuracy_q3	accuracy_median
2	0	0.0862068980932235	0.0862068980932235	0.0862068980932235
2	1	0.09913793019950383	0.12715516798198218	0.11637930944561956
2	2	0.1637931019067764	0.17887930572032923	0.1637931019067764
2	3	0.16163792461156845	0.20474138483405113	0.1982758641242981
2	4	0.16810344532132146	0.24137930944561958	0.19827586412429804
2	5	0.1831896491348743	0.2586206793785095	0.19827586412429804
2	6	0.1982758641242981	0.23922413587570182	0.224137932062149
2	7	0.22629310563206667	0.2478448264300823	0.2327586263418197
2	8	0.20474138110876083	0.2413793057203292	0.22844827920198435
2	9	0.21767241135239598	0.26077586784958834	0.2327586188912391
2	10	0.224137932062149	0.2650862112641334	0.24137931317090985
2	11	0.2435344792902469	0.2844827473163605	0.2629310339689255
2	12	0.2521551698446274	0.2995689660310745	0.2629310339689255
2	13	0.2521551698446274	0.28663793951272964	0.2629310339689255
2	14	0.2672413885593414	0.30818964540958405	0.2801724076271057
2	15	0.30603448301553726	0.3448275923728943	0.32327586412429804
2	16	0.32112069427967066	0.3362068831920624	0.3318965435028076
2	17	0.33836206048727036	0.3663793131709098	0.34913793206214905
2	18	0.33836206048727036	0.3599137812852859	0.34913793206214905
2	19	0.3448275923728943	0.3771551698446273	0.35775862634181976
2	20	0.34051723033189774	0.4051724076271057	0.3965517282485962
2	21	0.3814655169844627	0.4137931168079376	0.3965517282485962
2	22	0.3706896603107452	0.45258621871471405	0.3879310488700866
2	23	0.3922413885593414	0.45258620381355286	0.4224137961864471
2	24	0.39870689809322357	0.4870689660310745	0.41379310190677643
2	25	0.4482758641242981	0.47844827175140375	0.46120689809322357
2	26	0.4288793131709098	0.5064655095338821	0.47844827175140375
2	27	0.4504310414195061	0.5215517431497574	0.49568964540958405
2	28	0.5107758492231369	0.5646551549434662	0.5215517282485962
2	29	0.5431034564971924	0.5646551549434662	0.5474137961864471
2	30	0.5538793057203293	0.6034482717514038	0.5732758641242981
2	31	0.5431034564971924	0.5754310488700867	0.5517241358757019
2	32	0.5711206793785095	0.6250000149011612	0.58189657330513
2	33	0.5775862336158752	0.6357758641242981	0.5905172526836395
2	34	0.5603448301553726	0.6077586114406586	0.5948275923728943
2	35	0.6034482717514038	0.6357758790254593	0.625
2	36	0.6056034415960312	0.6443965584039688	0.625
2	37	0.6185344755649567	0.66810342669487	0.650862067937851
2	38	0.6637930870056152	0.6788793206214905	0.66810342669487
2	39	0.6379310488700867	0.6767241507768631	0.6551724076271057
2	40	0.6551724076271057	0.681034505367279	0.6724137961864471
2	41	0.6573275774717331	0.7068965435028076	0.6853448450565338
2	42	0.6573275774717331	0.6875000149011612	0.66810342669487
2	43	0.6745689511299133	0.7219827324151993	0.7025862038135529
2	44	0.6745689511299133	0.732758641242981	0.7112068831920624
2	45	0.7004310339689255	0.732758641242981	0.7198275923728943
2	46	0.7262930870056152	0.7478448301553726	0.7370689809322357
2	47	0.691810354590416	0.7392241507768631	0.7068965435028076
2	48	0.7241379022598267	0.7478448301553726	0.7370689809322357
2	49	0.7198275774717331	0.7586206793785095	0.75
2	50	0.7349138110876083	0.75	0.7456896603107452
2	51	0.7413793206214905	0.7650861889123917	0.75
2	52	0.732758641242981	0.7737069129943848	0.7586206793785095
2	53	0.7521551698446274	0.767241358757019	0.7586206793785095
2	54	0.7370689809322357	0.7737069129943848	0.7629310190677643
2	55	0.7262930870056152	0.7737069129943848	0.7586206793785095
2	56	0.7521551698446274	0.767241358757019	0.767241358757019
2	57	0.75	0.7650861889123917	0.7586206793785095
2	58	0.7435344904661179	0.7758620977401733	0.7586206793785095
2	59	0.7607758492231369	0.7823276072740555	0.7715517282485962
2	60	0.7586206793785095	0.7844827771186829	0.7715517282485962
2	61	0.7521551698446274	0.790948286652565	0.767241358757019
2	62	0.767241358757019	0.7995689660310745	0.775862067937851
2	63	0.7586206793785095	0.7887931168079376	0.7715517282485962
2	64	0.7586206793785095	0.7931034564971924	0.7801724374294281
2	65	0.7521551698446274	0.7995689660310745	0.7801724076271057
2	66	0.767241358757019	0.7931034564971924	0.7801724374294281
2	67	0.7607758492231369	0.7931034564971924	0.7801724374294281
2	68	0.767241358757019	0.790948286652565	0.7844827771186829
2	69	0.7844827771186829	0.7995689660310745	0.7931034564971924
2	70	0.7844827771186829	0.8017241358757019	0.7931034564971924
2	71	0.7844827771186829	0.8060344755649567	0.7887931168079376
2	72	0.7801724374294281	0.7995689660310745	0.7931034564971924
2	73	0.7931034564971924	0.8017241358757019	0.7974137961864471
2	74	0.7780172675848007	0.7995689660310745	0.7887931168079376
