iteration;loss;accuracy
0;0.09567903727293015;0.32258063554763794
1;0.08588948845863342;0.35483869910240173
2;0.07627765834331512;0.35483869910240173
3;0.06780445575714111;0.25806450843811035
4;0.06787130981683731;0.4193548262119293
5;0.0660874992609024;0.4838709533214569
6;0.0689784362912178;0.3870967626571655
7;0.06726211309432983;0.35483869910240173
8;0.06602632254362106;0.32258063554763794
9;0.06660423427820206;0.32258063554763794
10;0.06277748942375183;0.4516128897666931
11;0.06282488256692886;0.32258063554763794
12;0.06167004629969597;0.4838709533214569
13;0.060977935791015625;0.5806451439857483
14;0.06135297939181328;0.4193548262119293
15;0.06185150519013405;0.4516128897666931
16;0.060446400195360184;0.5806451439857483
17;0.06053948774933815;0.4838709533214569
18;0.05628202483057976;0.4838709533214569
19;0.05736719071865082;0.5806451439857483
20;0.05262790992856026;0.6129032373428345
21;0.0512118823826313;0.6774193644523621
22;0.04919005557894707;0.774193525314331
23;0.04726741835474968;0.7096773982048035
24;0.04638724774122238;0.7096773982048035
25;0.041825223714113235;0.9032257795333862
26;0.04206237196922302;0.8064516186714172
27;0.037671759724617004;0.8709677457809448
28;0.035540591925382614;0.9677419066429138
29;0.035061586648225784;0.8709677457809448
30;0.03148398548364639;0.9032257795333862
31;0.03208031505346298;0.9032257795333862
32;0.03682667762041092;0.9032257795333862
33;0.02851167879998684;1.0
34;0.040456123650074005;0.6129032373428345
35;0.024332856759428978;0.9032257795333862
36;0.028229957446455956;0.9354838728904724
37;0.028252344578504562;1.0
38;0.023007459938526154;1.0
39;0.02012619562447071;1.0
40;0.025297464802861214;1.0
41;0.021336868405342102;0.9677419066429138
42;0.019352063536643982;0.9677419066429138
43;0.017405500635504723;1.0
44;0.018031049519777298;1.0
45;0.01916617900133133;1.0
46;0.016005469486117363;1.0
47;0.01481173001229763;1.0
48;0.013825577683746815;1.0
49;0.01363238412886858;1.0
50;0.015906456857919693;1.0
51;0.013890133239328861;1.0
52;0.013080689124763012;1.0
53;0.012747527100145817;1.0
54;0.012658118270337582;1.0
55;0.012718589045107365;1.0
56;0.01164191123098135;1.0
57;0.010958013124763966;1.0
58;0.011543693952262402;1.0
59;0.011386415921151638;1.0
60;0.010963927954435349;1.0
61;0.010599451139569283;1.0
62;0.012016672641038895;1.0
63;0.010791892185807228;1.0
