iteration;loss;acc
0;0.009460150264203548;0.019305018708109856
1;0.00923966709524393;0.03667953610420227
2;0.009175133891403675;0.04054053872823715
3;0.009274899028241634;0.04440154507756233
4;0.009193820878863335;0.03861003741621971
5;0.009233308024704456;0.04633204638957977
6;0.009161533787846565;0.04633204638957977
7;0.00922554824501276;0.04247104376554489
8;0.009148646146059036;0.06563706696033478
9;0.009127309545874596;0.06563706696033478
10;0.009159697219729424;0.048262547701597214
11;0.009196875616908073;0.05984555929899216
12;0.00913644302636385;0.057915057986974716
13;0.00912341196089983;0.054054055362939835
14;0.009231490083038807;0.04440154507756233
15;0.009095830842852592;0.06563706696033478
16;0.009188879281282425;0.052123550325632095
17;0.009091448970139027;0.06563706696033478
18;0.009170652367174625;0.06370656192302704
19;0.009095295332372189;0.050193049013614655
20;0.009078186005353928;0.0810810774564743
21;0.009092941880226135;0.057915057986974716
22;0.009075280278921127;0.06949806958436966
23;0.009573192335665226;0.04633204638957977
24;0.009119573049247265;0.0810810774564743
25;0.009159507229924202;0.06949806958436966
26;0.009123913943767548;0.048262547701597214
27;0.009131329134106636;0.05984555929899216
28;0.009065081365406513;0.07528957724571228
29;0.009191624820232391;0.0617760606110096
30;0.009129536338150501;0.08494208753108978
31;0.009060622192919254;0.06563706696033478
32;0.009173776023089886;0.06756756454706192
33;0.009006913751363754;0.07722007483243942
34;0.009127984754741192;0.08880309015512466
35;0.00901874341070652;0.0714285746216774
36;0.008994951844215393;0.08301158249378204
37;0.009000135585665703;0.08880309015512466
38;0.008988616056740284;0.06370656192302704
39;0.0089982645586133;0.08880309015512466
40;0.009137114509940147;0.06370656192302704
41;0.00902002863585949;0.07528957724571228
42;0.008998097851872444;0.057915057986974716
43;0.008961007930338383;0.08494208753108978
44;0.008970134891569614;0.08301158249378204
45;0.008954175747931004;0.09652509540319443
46;0.00903381872922182;0.08687258511781693
47;0.008975803852081299;0.06949806958436966
48;0.008972102776169777;0.07915057986974716
49;0.00903479102998972;0.08687258511781693
50;0.008938551880419254;0.07528957724571228
51;0.008944637142121792;0.10231660306453705
52;0.008940311148762703;0.08494208753108978
53;0.008974377997219563;0.08880309015512466
54;0.009089017286896706;0.07528957724571228
55;0.008943463675677776;0.10231660306453705
56;0.008932876400649548;0.08494208753108978
57;0.008989039808511734;0.07722007483243942
58;0.009068290702998638;0.07528957724571228
59;0.008939222432672977;0.08687258511781693
60;0.009083935059607029;0.09459459781646729
61;0.008904611691832542;0.06563706696033478
62;0.008887529373168945;0.07722007483243942
63;0.009057214483618736;0.09845560044050217
64;0.008881721645593643;0.1138996109366417
65;0.008881006389856339;0.11583011597394943
66;0.00892220064997673;0.10424710065126419
67;0.00898793525993824;0.08494208753108978
68;0.008892538025975227;0.08494208753108978
69;0.00887315720319748;0.08687258511781693
70;0.008904540911316872;0.11776062101125717
71;0.008897536434233189;0.09266409277915955
72;0.008915313519537449;0.09266409277915955
73;0.008881090208888054;0.09266409277915955
74;0.008977067656815052;0.10038609802722931
75;0.009079178795218468;0.09459459781646729
76;0.010178875178098679;0.04633204638957977
77;0.008792552165687084;0.12934362888336182
78;0.008973940275609493;0.06756756454706192
79;0.009134531952440739;0.0810810774564743
