target_set;shape_id;readable_shape;step;classification
4;0;1111-1111-1001;0;0,1,1-1,1,37-2,1,37-3,1,2-0,2,27-1,2,6-2,2,6-3,2,28-0,3,34-3,3,34
4;0;1111-1111-1001;10;0,1,0-1,1,0-2,1,1-3,1,0-0,2,0-1,2,0-2,2,0-3,2,0-0,3,0-3,3,0
4;0;1111-1111-1001;20;0,1,0-1,1,0-2,1,0-3,1,0-0,2,1-1,2,0-2,2,1-3,2,1-0,3,1-3,3,1
4;0;1111-1111-1001;30;0,1,26-1,1,1-2,1,0-3,1,1-0,2,1-1,2,1-2,2,1-3,2,1-0,3,37-3,3,1
4;0;1111-1111-1001;40;0,1,28-1,1,14-2,1,13-3,1,13-0,2,1-1,2,1-2,2,1-3,2,13-0,3,1-3,3,1
4;0;1111-1111-1001;50;0,1,26-1,1,14-2,1,13-3,1,13-0,2,1-1,2,9-2,2,13-3,2,14-0,3,1-3,3,28
4;1;0111-1111-1001;0;1,1,1-2,1,37-3,1,2-0,2,1-1,2,6-2,2,6-3,2,28-0,3,34-3,3,34
4;1;0111-1111-1001;10;1,1,1-2,1,1-3,1,0-0,2,1-1,2,1-2,2,0-3,2,0-0,3,1-3,3,0
4;1;0111-1111-1001;20;1,1,1-2,1,1-3,1,0-0,2,1-1,2,1-2,2,1-3,2,1-0,3,1-3,3,1
4;1;0111-1111-1001;30;1,1,1-2,1,1-3,1,1-0,2,1-1,2,1-2,2,1-3,2,1-0,3,1-3,3,1
4;1;0111-1111-1001;40;1,1,1-2,1,1-3,1,1-0,2,1-1,2,1-2,2,1-3,2,1-0,3,28-3,3,1
4;1;0111-1111-1001;50;1,1,1-2,1,1-3,1,13-0,2,1-1,2,1-2,2,28-3,2,14-0,3,28-3,3,28
4;2;1110-1111-1001;0;0,1,1-1,1,37-2,1,2-0,2,27-1,2,6-2,2,6-3,2,2-0,3,34-3,3,34
4;2;1110-1111-1001;10;0,1,2-1,1,2-2,1,2-0,2,2-1,2,2-2,2,2-3,2,2-0,3,2-3,3,2
4;2;1110-1111-1001;20;0,1,2-1,1,2-2,1,2-0,2,2-1,2,2-2,2,2-3,2,2-0,3,2-3,3,2
4;2;1110-1111-1001;30;0,1,2-1,1,2-2,1,2-0,2,2-1,2,2-2,2,2-3,2,2-0,3,2-3,3,2
4;2;1110-1111-1001;40;0,1,2-1,1,2-2,1,2-0,2,2-1,2,2-2,2,2-3,2,2-0,3,2-3,3,2
4;2;1110-1111-1001;50;0,1,2-1,1,2-2,1,2-0,2,2-1,2,12-2,2,2-3,2,2-0,3,2-3,3,2
4;3;1111-1111-0001;0;0,1,1-1,1,37-2,1,37-3,1,2-0,2,24-1,2,6-2,2,6-3,2,28-3,3,34
4;3;1111-1111-0001;10;0,1,0-1,1,0-2,1,1-3,1,0-0,2,0-1,2,3-2,2,3-3,2,0-3,3,0
4;3;1111-1111-0001;20;0,1,0-1,1,0-2,1,0-3,1,0-0,2,0-1,2,1-2,2,1-3,2,1-3,3,1
4;3;1111-1111-0001;30;0,1,0-1,1,1-2,1,0-3,1,1-0,2,0-1,2,1-2,2,1-3,2,1-3,3,1
4;3;1111-1111-0001;40;0,1,26-1,1,22-2,1,22-3,1,13-0,2,0-1,2,1-2,2,1-3,2,1-3,3,1
4;3;1111-1111-0001;50;0,1,26-1,1,14-2,1,14-3,1,13-0,2,0-1,2,12-2,2,13-3,2,14-3,3,28
4;4;1111-1111-1000;0;0,1,1-1,1,37-2,1,37-3,1,2-0,2,27-1,2,6-2,2,6-3,2,27-0,3,34
4;4;1111-1111-1000;10;0,1,4-1,1,4-2,1,4-3,1,4-0,2,37-1,2,38-2,2,5-3,2,6-0,3,38
