shapes_set,shape_id,target_set,closest_shape_id,edit_distance,readable_shape,step,classification,majority_vote,seed,classification_vx,majority_vote_vx
4,0,2,0,0,1111-1111-1001,0,0;0;8-3;0;8-0;1;8-1;1;0-2;1;0-3;1;8-0;2;8-1;2;8-2;2;8-3;2;8,8,1,1.1626492188072983,0.06501782717104125
4,0,2,0,0,1111-1111-1001,0,0;0;8-3;0;8-0;1;8-1;1;0-2;1;0-3;1;8-0;2;8-1;2;8-2;2;8-3;2;8,8,2,-0.008561621999865864,0.6115880645380706
4,0,2,0,0,1111-1111-1001,0,0;0;8-3;0;8-0;1;8-1;1;0-2;1;0-3;1;8-0;2;8-1;2;8-2;2;8-3;2;8,8,3,0.004433107740598296,-0.0333587059032873
4,0,2,0,0,1111-1111-1001,0,0;0;8-3;0;8-0;1;8-1;1;0-2;1;0-3;1;8-0;2;8-1;2;8-2;2;8-3;2;8,8,4,0.009537359273361206,0.15856891598236314
4,0,2,0,0,1111-1111-1001,0,0;0;8-3;0;8-0;1;8-1;1;0-2;1;0-3;1;8-0;2;8-1;2;8-2;2;8-3;2;8,8,5,0.021060058534025275,1.7426529109026834
4,0,2,0,0,1111-1111-1001,1,0;0;8-3;0;8-0;1;8-1;1;0-2;1;0-3;1;8-0;2;8-1;2;0-2;2;0-3;2;8,8,1,0.014338125263065713,0.06501782717104125
4,0,2,0,0,1111-1111-1001,1,0;0;8-3;0;8-0;1;8-1;1;0-2;1;0-3;1;8-0;2;8-1;2;0-2;2;0-3;2;8,8,2,-0.02597083934254557,0.6115880645380706
4,0,2,0,0,1111-1111-1001,1,0;0;8-3;0;8-0;1;8-1;1;0-2;1;0-3;1;8-0;2;8-1;2;0-2;2;0-3;2;8,8,3,-0.00387647445693725,-0.0333587059032873
4,0,2,0,0,1111-1111-1001,1,0;0;8-3;0;8-0;1;8-1;1;0-2;1;0-3;1;8-0;2;8-1;2;0-2;2;0-3;2;8,8,4,-0.030692792924314892,0.15856891598236314
4,0,2,0,0,1111-1111-1001,1,0;0;8-3;0;8-0;1;8-1;1;0-2;1;0-3;1;8-0;2;8-1;2;0-2;2;0-3;2;8,8,5,-0.0339553750145439,1.7426529109026834
4,0,2,0,0,1111-1111-1001,2,0;0;8-3;0;8-0;1;0-1;1;0-2;1;0-3;1;0-0;2;8-1;2;0-2;2;0-3;2;8,0,1,0.008798292224855692,3.2662573825650085
4,0,2,0,0,1111-1111-1001,2,0;0;8-3;0;8-0;1;0-1;1;0-2;1;0-3;1;0-0;2;8-1;2;0-2;2;0-3;2;8,0,2,0.5708935497816229,3.1702862674560603
4,0,2,0,0,1111-1111-1001,2,0;0;8-3;0;8-0;1;0-1;1;0-2;1;0-3;1;0-0;2;8-1;2;0-2;2;0-3;2;8,0,3,0.00736559124909264,1.8428490882138375
4,0,2,0,0,1111-1111-1001,2,0;0;8-3;0;8-0;1;0-1;1;0-2;1;0-3;1;0-0;2;8-1;2;0-2;2;0-3;2;8,0,4,-0.0242200553736806,2.4318850725748384
4,0,2,0,0,1111-1111-1001,2,0;0;8-3;0;8-0;1;0-1;1;0-2;1;0-3;1;0-0;2;8-1;2;0-2;2;0-3;2;8,0,5,0.10106924947565285,3.7169256489195845
4,0,2,0,0,1111-1111-1001,3,0;0;8-3;0;8-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,0.34707343448567085,3.2662573825650085
4,0,2,0,0,1111-1111-1001,3,0;0;8-3;0;8-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,1.6416865516833306,3.1702862674560603
4,0,2,0,0,1111-1111-1001,3,0;0;8-3;0;8-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,0.9088546634722644,1.8428490882138375
4,0,2,0,0,1111-1111-1001,3,0;0;8-3;0;8-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,0.8575406826178829,2.4318850725748384
4,0,2,0,0,1111-1111-1001,3,0;0;8-3;0;8-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,5,-0.0029505222490392494,3.7169256489195845
4,0,2,0,0,1111-1111-1001,4,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,3.2662573825650085,3.2662573825650085
4,0,2,0,0,1111-1111-1001,4,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,3.1702862674560603,3.1702862674560603
4,0,2,0,0,1111-1111-1001,4,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,1.8428490882138375,1.8428490882138375
4,0,2,0,0,1111-1111-1001,4,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,2.4318850725748384,2.4318850725748384
4,0,2,0,0,1111-1111-1001,4,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,5,3.7169256489195845,3.7169256489195845
4,0,2,0,0,1111-1111-1001,5,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,3.2662573825650085,3.2662573825650085
4,0,2,0,0,1111-1111-1001,5,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,3.1702862674560603,3.1702862674560603
4,0,2,0,0,1111-1111-1001,5,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,1.8428490882138375,1.8428490882138375
4,0,2,0,0,1111-1111-1001,5,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,2.4318850725748384,2.4318850725748384
4,0,2,0,0,1111-1111-1001,5,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,5,3.7169256489195845,3.7169256489195845
4,0,2,0,0,1111-1111-1001,6,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,3.2662573825650085,3.2662573825650085
4,0,2,0,0,1111-1111-1001,6,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,3.1702862674560603,3.1702862674560603
4,0,2,0,0,1111-1111-1001,6,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,1.8428490882138375,1.8428490882138375
4,0,2,0,0,1111-1111-1001,6,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,2.4318850725748384,2.4318850725748384
4,0,2,0,0,1111-1111-1001,6,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,5,3.7169256489195845,3.7169256489195845
4,0,2,0,0,1111-1111-1001,7,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,3.2662573825650085,3.2662573825650085
4,0,2,0,0,1111-1111-1001,7,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,3.1702862674560603,3.1702862674560603
4,0,2,0,0,1111-1111-1001,7,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,1.8428490882138375,1.8428490882138375
4,0,2,0,0,1111-1111-1001,7,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,2.4318850725748384,2.4318850725748384
4,0,2,0,0,1111-1111-1001,7,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,5,3.7169256489195845,3.7169256489195845
4,0,2,0,0,1111-1111-1001,8,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,3.2662573825650085,3.2662573825650085
4,0,2,0,0,1111-1111-1001,8,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,3.1702862674560603,3.1702862674560603
4,0,2,0,0,1111-1111-1001,8,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,1.8428490882138375,1.8428490882138375
4,0,2,0,0,1111-1111-1001,8,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,2.4318850725748384,2.4318850725748384
4,0,2,0,0,1111-1111-1001,8,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,5,3.7169256489195845,3.7169256489195845
4,0,2,0,0,1111-1111-1001,9,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,3.2662573825650085,3.2662573825650085
4,0,2,0,0,1111-1111-1001,9,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,3.1702862674560603,3.1702862674560603
4,0,2,0,0,1111-1111-1001,9,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,1.8428490882138375,1.8428490882138375
4,0,2,0,0,1111-1111-1001,9,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,2.4318850725748384,2.4318850725748384
4,0,2,0,0,1111-1111-1001,9,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,5,3.7169256489195845,3.7169256489195845
4,0,2,0,0,1111-1111-1001,10,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,3.2662573825650085,3.2662573825650085
