target_set,shape_id,target_vx,seed
1,0,3.2662573825650085,1
1,0,3.1702862674560603,2
1,0,1.8428490882138373,3
1,0,2.4318850725748384,4
1,0,3.716925648919585,5
1,1,0.8203586789103361,1
1,1,1.6665514478278176,2
1,1,1.9333288140805736,3
1,1,0.981348190674528,4
1,1,0.7563423485350818,5
1,2,1.8447792354991328,1
1,2,1.6754072888600566,2
1,2,1.8163143609542265,3
1,2,2.0402809165026605,4
1,2,0.9958888399089896,5
2,0,3.2662573825650085,1
2,0,3.1702862674560603,2
2,0,1.8428490882138373,3
2,0,2.4318850725748384,4
2,0,3.716925648919585,5
2,1,0.8203586789103361,1
2,1,1.6665514478278176,2
2,1,1.9333288140805736,3
2,1,0.981348190674528,4
2,1,0.7563423485350818,5
2,2,1.8447792354991328,1
2,2,1.6754072888600566,2
2,2,1.8163143609542265,3
2,2,2.0402809165026605,4
2,2,0.9958888399089896,5
2,3,1.8178833691910092,1
2,3,1.992961869105992,2
2,3,1.741574407765231,3
2,3,2.163380108727427,4
2,3,2.2745144215447803,5
2,4,0.618152967902345,1
2,4,0.6607999140734201,2
2,4,0.230228320213827,3
2,4,0.6401784294755521,4
2,4,0.6432146811123464,5
2,5,1.3214518899485106,1
2,5,1.6167362490732664,2
2,5,1.515745618236381,3
2,5,1.48373457990726,4
2,5,1.3060055814685567,5
2,6,2.611042407021058,1
2,6,2.2480949222969904,2
2,6,1.71231694953951,3
2,6,2.1171863936540936,4
2,6,1.6888696862383352,5
2,7,1.4146543318878568,1
2,7,0.6766259200293361,2
2,7,0.8477767929581538,3
2,7,1.3799920953636262,4
2,7,1.2999084505112688,5
2,8,2.3167426277212555,1
2,8,3.5131833221392683,2
2,8,2.064324791896478,3
2,8,2.233942035042322,4
2,8,1.8877116093749544,5
3,0,3.2662573825650085,1
3,0,3.1702862674560603,2
3,0,1.8428490882138373,3
3,0,2.4318850725748384,4
3,0,3.716925648919585,5
3,1,2.389723023607534,1
3,1,3.966744540551052,2
3,1,3.347276483173254,3
3,1,2.954469257871947,4
3,1,3.457660358591142,5
3,2,2.719429660688603,1
3,2,2.9786385311597043,2
3,2,3.083281809155198,3
3,2,2.434846801092584,4
3,2,3.6085336468489,5
3,3,3.032604523318085,1
3,3,3.0751663493229158,2
3,3,3.291399331541842,3
3,3,1.195359090962334,4
3,3,3.923174175090432,5
3,4,2.1136606873857584,1
3,4,0.6891377760361309,2
3,4,2.046592887188009,3
3,4,1.987761070962712,4
3,4,2.1179244552334704,5
3,5,0.8203586789103361,1
3,5,1.6665514478278176,2
3,5,1.9333288140805736,3
3,5,0.981348190674528,4
3,5,0.7563423485350818,5
3,6,2.05708663533497,1
3,6,0.7458673285081605,2
3,6,0.2358324926115274,3
3,6,0.8404651638197298,4
3,6,1.5582176971956476,5
3,7,1.9903932210257247,1
3,7,1.104293681937317,2
3,7,0.508609170313546,3
3,7,1.6513747902900728,4
3,7,1.6278197729024952,5
3,8,1.8171520219195532,1
3,8,0.7830069187022111,2
3,8,1.1720240547028835,3
3,8,1.3301480300815691,4
3,8,1.8179439369369257,5
3,9,0.9359161422918426,1
3,9,0.7852327810157965,2
3,9,1.201684739314994,3
3,9,1.1247928020685385,4
3,9,1.397905498508705,5
3,10,1.8447792354991328,1
