target_set,shapes_set,closest_shape_id,edit_distance,shape_id,step,majority_vote,seed,target_vx,variable,vx,relative_performance_loss,overlap
1,3,0,0,0,40,0.0,1.0,3.2662573825650085,classification,3.2662573825650085,0.0,True
1,3,0,0,0,40,0.0,2.0,3.1702862674560603,classification,3.1702862674560603,0.0,True
1,3,0,0,0,40,0.0,3.0,1.8428490882138373,classification,1.8428490882138373,0.0,True
1,3,0,0,0,40,0.0,4.0,2.4318850725748384,classification,2.4318850725748384,0.0,True
1,3,0,0,0,40,0.0,5.0,3.716925648919585,classification,3.716925648919585,0.0,True
1,3,0,0,0,40,0.0,1.0,3.2662573825650085,classification,3.2662573825650085,0.0,True
1,3,0,0,0,40,0.0,2.0,3.1702862674560603,classification,3.1702862674560603,0.0,True
1,3,0,0,0,40,0.0,3.0,1.8428490882138373,classification,1.8428490882138373,0.0,True
1,3,0,0,0,40,0.0,4.0,2.4318850725748384,classification,2.4318850725748384,0.0,True
1,3,0,0,0,40,0.0,5.0,3.716925648919585,classification,3.716925648919585,0.0,True
1,3,0,0,0,40,0.0,1.0,3.2662573825650085,classification,3.2662573825650085,0.0,True
1,3,0,0,0,40,0.0,2.0,3.1702862674560603,classification,3.1702862674560603,0.0,True
1,3,0,0,0,40,0.0,3.0,1.8428490882138373,classification,1.8428490882138373,0.0,True
1,3,0,0,0,40,0.0,4.0,2.4318850725748384,classification,2.4318850725748384,0.0,True
1,3,0,0,0,40,0.0,5.0,3.716925648919585,classification,3.716925648919585,0.0,True
1,3,0,0,0,40,0.0,1.0,3.2662573825650085,classification,3.2662573825650085,0.0,True
1,3,0,0,0,40,0.0,2.0,3.1702862674560603,classification,3.1702862674560603,0.0,True
1,3,0,0,0,40,0.0,3.0,1.8428490882138373,classification,1.8428490882138373,0.0,True
1,3,0,0,0,40,0.0,4.0,2.4318850725748384,classification,2.4318850725748384,0.0,True
1,3,0,0,0,40,0.0,5.0,3.716925648919585,classification,3.716925648919585,0.0,True
1,3,0,0,0,40,0.0,1.0,3.2662573825650085,classification,3.2662573825650085,0.0,True
1,3,0,0,0,40,0.0,2.0,3.1702862674560603,classification,3.1702862674560603,0.0,True
1,3,0,0,0,40,0.0,3.0,1.8428490882138373,classification,1.8428490882138373,0.0,True
