target_set,shape_id,step,accuracy,majority_vote,seed,nca_seed,target_vx,variable,vx,relative_performance_loss
1,0,40,1.0,0,1,0,3.2662573825650085,classification,3.2662573825650085,0.0
1,0,40,1.0,0,2,0,3.1702862674560603,classification,3.1702862674560603,0.0
1,0,40,1.0,0,3,0,1.8428490882138373,classification,1.8428490882138373,0.0
1,0,40,1.0,0,4,0,2.4318850725748384,classification,2.4318850725748384,0.0
1,0,40,1.0,0,5,0,3.716925648919585,classification,3.716925648919585,0.0
1,1,40,1.0,1,1,0,0.8203586789103361,classification,0.8203586789103361,0.0
1,1,40,1.0,1,2,0,1.6665514478278176,classification,1.6665514478278176,0.0
1,1,40,1.0,1,3,0,1.9333288140805736,classification,1.9333288140805736,0.0
1,1,40,1.0,1,4,0,0.981348190674528,classification,0.981348190674528,0.0
1,1,40,1.0,1,5,0,0.7563423485350818,classification,0.7563423485350818,0.0
1,2,40,1.0,2,1,0,1.8447792354991328,classification,1.8447792354991328,0.0
1,2,40,1.0,2,2,0,1.6754072888600566,classification,1.6754072888600566,0.0
1,2,40,1.0,2,3,0,1.8163143609542265,classification,1.8163143609542265,0.0
1,2,40,1.0,2,4,0,2.0402809165026605,classification,2.0402809165026605,0.0
1,2,40,1.0,2,5,0,0.9958888399089896,classification,0.9958888399089896,0.0
2,0,40,0.8,0,1,0,3.2662573825650085,classification,0.6335221023413332,0.8060403611414648
2,0,40,0.8,0,2,0,3.1702862674560603,classification,0.4027694508792991,0.8729548637251316
2,0,40,0.8,0,3,0,1.8428490882138373,classification,0.0102748883966442,0.9944244547953718
2,0,40,0.8,0,4,0,2.4318850725748384,classification,0.7885777398300591,0.6757339609823229
2,0,40,0.8,0,5,0,3.716925648919585,classification,1.7274656581403127,0.5352434185379945
2,1,40,1.0,1,1,0,0.8203586789103361,classification,0.8203586789103361,0.0
2,1,40,1.0,1,2,0,1.6665514478278176,classification,1.6665514478278176,0.0
2,1,40,1.0,1,3,0,1.9333288140805736,classification,1.9333288140805736,0.0
2,1,40,1.0,1,4,0,0.981348190674528,classification,0.981348190674528,0.0
2,1,40,1.0,1,5,0,0.7563423485350818,classification,0.7563423485350818,0.0
2,2,40,1.0,2,1,0,1.8447792354991328,classification,1.8447792354991328,0.0
2,2,40,1.0,2,2,0,1.6754072888600566,classification,1.6754072888600566,0.0
2,2,40,1.0,2,3,0,1.8163143609542265,classification,1.8163143609542265,0.0
2,2,40,1.0,2,4,0,2.0402809165026605,classification,2.0402809165026605,0.0
2,2,40,1.0,2,5,0,0.9958888399089896,classification,0.9958888399089896,0.0
2,3,40,1.0,3,1,0,1.8178833691910088,classification,1.8178833691910092,-2.442891647376093e-16
2,3,40,1.0,3,2,0,1.992961869105992,classification,1.992961869105992,0.0
2,3,40,1.0,3,3,0,1.741574407765231,classification,1.741574407765231,0.0
2,3,40,1.0,3,4,0,2.163380108727427,classification,2.163380108727427,0.0
2,3,40,1.0,3,5,0,2.2745144215447803,classification,2.2745144215447803,0.0
2,4,40,1.0,4,1,0,0.618152967902345,classification,0.618152967902345,0.0
2,4,40,1.0,4,2,0,0.6607999140734201,classification,0.6607999140734201,0.0
2,4,40,1.0,4,3,0,0.230228320213827,classification,0.230228320213827,0.0
2,4,40,1.0,4,4,0,0.6401784294755521,classification,0.6401784294755521,0.0
2,4,40,1.0,4,5,0,0.6432146811123464,classification,0.6432146811123464,0.0
2,5,40,1.0,5,1,0,1.3214518899485106,classification,1.3214518899485106,0.0
2,5,40,1.0,5,2,0,1.6167362490732664,classification,1.6167362490732664,0.0
2,5,40,1.0,5,3,0,1.515745618236381,classification,1.515745618236381,0.0
2,5,40,1.0,5,4,0,1.48373457990726,classification,1.48373457990726,0.0
2,5,40,1.0,5,5,0,1.3060055814685567,classification,1.3060055814685567,0.0
