shapes_set,shape_id,target_set,closest_shape_id,edit_distance,readable_shape,step,classification,majority_vote,nca_seed,seed,classification_vx,majority_vote_vx
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,0,1,3.2662573825650085,3.2662573825650085
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,0,2,3.1702862674560603,3.1702862674560603
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,0,3,1.8428490882138375,1.8428490882138375
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,0,4,2.4318850725748384,2.4318850725748384
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,0,5,3.7169256489195845,3.7169256489195845
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,1,3.2662573825650085,3.2662573825650085
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,2,3.1702862674560603,3.1702862674560603
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,3,1.8428490882138375,1.8428490882138375
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,4,2.4318850725748384,2.4318850725748384
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,1,5,3.7169256489195845,3.7169256489195845
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,1,3.2662573825650085,3.2662573825650085
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,2,3.1702862674560603,3.1702862674560603
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,3,1.8428490882138375,1.8428490882138375
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,4,2.4318850725748384,2.4318850725748384
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,2,5,3.7169256489195845,3.7169256489195845
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,1,3.2662573825650085,3.2662573825650085
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,2,3.1702862674560603,3.1702862674560603
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,3,1.8428490882138375,1.8428490882138375
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,4,2.4318850725748384,2.4318850725748384
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,3,5,3.7169256489195845,3.7169256489195845
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,1,3.2662573825650085,3.2662573825650085
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,2,3.1702862674560603,3.1702862674560603
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,3,1.8428490882138375,1.8428490882138375
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,4,2.4318850725748384,2.4318850725748384
3,0,1,0,0,1111-1111-1001,40,0;0;0-3;0;0-0;1;0-1;1;0-2;1;0-3;1;0-0;2;0-1;2;0-2;2;0-3;2;0,0,4,5,3.7169256489195845,3.7169256489195845
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;1-2;2;0-3;2;0,0,0,1,0.45195300986879366,1.6336448054155075
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;1-2;2;0-3;2;0,0,0,2,0.04950129820876605,1.7944696099951984
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;1-2;2;0-3;2;0,0,0,3,0.2853526160506653,2.549958034801282
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;1-2;2;0-3;2;0,0,0,4,0.0725063498633997,1.344714849799511
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;1-2;2;0-3;2;0,0,0,5,0.8003062817013474,1.4505140063232365
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,1,1,0.06298783274695048,1.6336448054155075
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,1,2,-0.03128873901101233,1.7944696099951984
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,1,3,-0.032782782025041306,2.549958034801282
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,1,4,0.09088274669258725,1.344714849799511
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,1,5,0.538426362262106,1.4505140063232365
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,2,1,0.06298783274695048,1.6336448054155075
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,2,2,-0.03128873901101233,1.7944696099951984
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,2,3,-0.032782782025041306,2.549958034801282
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,2,4,0.09088274669258725,1.344714849799511
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,2,5,0.538426362262106,1.4505140063232365
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,3,1,0.06298783274695048,1.6336448054155075
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,3,2,-0.03128873901101233,1.7944696099951984
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,3,3,-0.032782782025041306,2.549958034801282
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,3,4,0.09088274669258725,1.344714849799511
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,3,5,0.538426362262106,1.4505140063232365
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,4,1,0.06298783274695048,1.6336448054155075
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,4,2,-0.03128873901101233,1.7944696099951984
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,4,3,-0.032782782025041306,2.549958034801282
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,4,4,0.09088274669258725,1.344714849799511
3,1,1,0,1,0111-1111-1001,40,0;0;2-3;0;0-0;1;2-1;1;0-2;1;0-3;1;0-1;2;0-2;2;0-3;2;0,0,4,5,0.538426362262106,1.4505140063232365
3,2,1,0,1,1110-1111-1001,40,0;0;0-3;0;2-0;1;0-1;1;0-2;1;0-3;1;2-0;2;0-1;2;0-2;2;0,0,0,1,0.44532491311760575,2.736431530110384
